name,p_nom,technology,emission_factor,p_nom_max,p_nom_extendable,min_power,efficiency,marginal_cost,bus,capital_cost
Unit_0,31.1,hard coal,0.3,31.1,FALSE,6.22,0.406816435,1.3,193,1300000
Unit_1,233.764,natural gas,0.2,233.764,FALSE,467.528,0.414665196,5.5,193,
Unit_2,61.7,oil,0.25,61.7,FALSE,12.34,0.3487,5.5,193,
Unit_3,37.6,waste,0,37.6,FALSE,7.52,0.33,0,193,
Unit_4,51.805,hard coal,0.3,51.805,FALSE,10.361,0.394519632,1.3,87,1300000
Unit_5,338.119.692,natural gas,0.2,338.119.692,FALSE,676.239.384,0.450377637,5.5,87,
Unit_6,29.2,oil,0.25,29.2,FALSE,5.84,0.419450427,5.5,87,
Unit_7,162.574,waste,0,162.574,FALSE,325.148,0.33,0,87,
Unit_8,653.698,natural gas,0.2,653.698,FALSE,1.307.396,0.425937521,5.5,58,
Unit_9,34,oil,0.25,34,FALSE,6.8,0.3046,5.5,58,
Unit_10,36,waste,0,36,FALSE,7.2,0.33,0,58,
Unit_11,17,lignite,0.4,17,FALSE,3.4,0.39799937,1.65,58,
Unit_12,88.457,natural gas,0.2,88.457,FALSE,176.914,0.403050514,5.5,58,
Unit_13,167.074,waste,0,167.074,FALSE,334.148,0.33,0,58,
Unit_14,14.82,natural gas,0.2,14.82,FALSE,2.964,0.490636968,5.5,167,
Unit_15,46,waste,0,46,FALSE,9.2,0.33,0,167,
Unit_16,33.932,natural gas,0.2,33.932,FALSE,67.864,0.424061042,5.5,190,
Unit_17,23.875,waste,0,23.875,FALSE,4.775,0.33,0,190,
Unit_18,33.5,lignite,0.4,33.5,FALSE,6.7,0.379586492,1.65,40,
Unit_19,126.023,natural gas,0.2,126.023,FALSE,252.046,0.404960301,5.5,40,
Unit_20,24.81,oil,0.25,24.81,FALSE,4.962,0.456311487,5.5,40,
Unit_21,62.099,waste,0,62.099,FALSE,124.198,0.33,0,40,
Unit_22,66.694,natural gas,0.2,66.694,FALSE,133.388,0.408598519,5.5,5,
Unit_23,18.5,waste,0,18.5,FALSE,3.7,0.33,0,5,
Unit_24,79.4,hard coal,0.3,79.4,FALSE,15.88,0.374986765,1.3,155,1300000
Unit_25,19,lignite,0.4,19,FALSE,3.8,0.335250218,1.65,155,
Unit_26,281.064,natural gas,0.2,281.064,FALSE,562.128,0.442438392,5.5,155,
Unit_27,7.434,oil,0.25,7.434,FALSE,14.868,0.4602,5.5,155,
Unit_28,120.29,waste,0,120.29,FALSE,24.058,0.33,0,155,
Unit_29,22.143,hard coal,0.3,22.143,FALSE,44.286,0.340961945,1.3,11,1300000
Unit_30,7.2,lignite,0.4,7.2,FALSE,1.44,0.356570393,1.65,11,
Unit_31,34.8,lignite,0.4,34.8,FALSE,6.96,0.302244465,1.65,11,
Unit_32,6.232,natural gas,0.2,6.232,FALSE,12.464,0.364489377,5.5,11,
Unit_33,65.899.085,natural gas,0.2,65.899.085,FALSE,13.179.817,0.419252753,5.5,11,
Unit_34,494.672,oil,0.25,494.672,FALSE,989.344,0.383967155,5.5,11,
Unit_35,245.716,waste,0,245.716,FALSE,491.432,0.33,0,11,
Unit_36,86.489,natural gas,0.2,86.489,FALSE,172.978,0.411787185,5.5,79,
Unit_37,11.11,oil,0.25,11.11,FALSE,2.222,0.4469,5.5,79,
Unit_38,32.5,waste,0,32.5,FALSE,6.5,0.33,0,79,
Unit_39,43.81,natural gas,0.2,43.81,FALSE,8.762,0.443261118,5.5,122,
Unit_40,34.86,oil,0.25,34.86,FALSE,6.972,0.3332,5.5,122,
Unit_41,27.6,waste,0,27.6,FALSE,5.52,0.33,0,122,
Unit_42,58.378,natural gas,0.2,58.378,FALSE,116.756,0.482481487,5.5,2,
Unit_43,17.1,oil,0.25,17.1,FALSE,3.42,0.435,5.5,2,
Unit_44,15.7,waste,0,15.7,FALSE,3.14,0.33,0,2,
Unit_45,8.8,lignite,0.4,8.8,FALSE,1.76,0.388792931,1.65,175,
Unit_46,72.3,lignite,0.4,72.3,FALSE,14.46,0.363972262,1.65,175,
Unit_47,166.392,natural gas,0.2,166.392,FALSE,332.784,0.438961106,5.5,175,
Unit_48,69.69,waste,0,69.69,FALSE,13.938,0.33,0,175,
Unit_49,23.65,hard coal,0.3,23.65,FALSE,4.73,0.37987921,1.3,96,1300000
Unit_50,38.577,natural gas,0.2,38.577,FALSE,77.154,0.397015068,5.5,96,
Unit_51,52.446,oil,0.25,52.446,FALSE,104.892,0.388703533,5.5,96,
Unit_52,5.536.201,waste,0,5.536.201,FALSE,11.072.402,0.33,0,96,
Unit_53,78.813,natural gas,0.2,78.813,FALSE,157.626,0.424673541,5.5,128,
Unit_54,12.1,waste,0,12.1,FALSE,2.42,0.33,0,128,
Unit_55,78.302,natural gas,0.2,78.302,FALSE,156.604,0.431877802,5.5,97,
Unit_56,57,natural gas,0.2,57,FALSE,11.4,0.314204763,5.5,166,
Unit_57,81,natural gas,0.2,81,FALSE,16.2,0.319107807,5.5,166,
Unit_58,323,hard coal,0.3,323,FALSE,64.6,0.423280057,1.3,166,1300000
Unit_59,65,natural gas,0.2,65,FALSE,13,0.373041282,5.5,166,
Unit_60,628,lignite,0.4,628,FALSE,125.6,0.345062344,1.65,3,
Unit_61,648,lignite,0.4,648,FALSE,129.6,0.345062344,1.65,3,
Unit_62,944,lignite,0.4,944,FALSE,188.8,0.411809029,1.65,3,
Unit_63,115,natural gas,0.2,115,FALSE,23,0.624707296,5.5,58,
Unit_64,185,natural gas,0.2,185,FALSE,37,0.624707296,5.5,58,
Unit_65,189.5,natural gas,0.2,189.5,FALSE,37.9,0.628913126,5.5,15,
Unit_66,72,natural gas,0.2,72,FALSE,14.4,0.321559328,5.5,58,
Unit_67,72,natural gas,0.2,72,FALSE,14.4,0.321559328,5.5,58,
Unit_68,52,natural gas,0.2,52,FALSE,10.4,0.364489377,5.5,15,
Unit_69,56,natural gas,0.2,56,FALSE,11.2,0.364489377,5.5,15,
Unit_70,56,natural gas,0.2,56,FALSE,11.2,0.365579425,5.5,15,
Unit_71,116,natural gas,0.2,116,FALSE,23.2,0.381930147,5.5,15,
Unit_72,164,natural gas,0.2,164,FALSE,32.8,0.373041282,5.5,15,
Unit_73,164,natural gas,0.2,164,FALSE,32.8,0.373041282,5.5,15,
Unit_74,89,hard coal,0.3,89,FALSE,17.8,0.40791401,1.3,58,1300000
Unit_75,282,hard coal,0.3,282,FALSE,56.4,0.401328561,1.3,58,1300000
Unit_76,282,hard coal,0.3,282,FALSE,56.4,0.40352371,1.3,58,1300000
Unit_77,58.5,natural gas,0.2,58.5,FALSE,11.7,0.624707296,5.5,175,
Unit_78,63.5,natural gas,0.2,63.5,FALSE,12.7,0.628913126,5.5,175,
Unit_79,108,natural gas,0.2,108,FALSE,21.6,0.544796527,5.5,117,
Unit_80,50,natural gas,0.2,50,FALSE,10,0.370589761,5.5,117,
Unit_81,73.5,natural gas,0.2,73.5,FALSE,14.7,0.599472316,5.5,158,
Unit_82,500,lignite,0.4,500,FALSE,100,0.356570393,1.65,31,
Unit_83,500,lignite,0.4,500,FALSE,100,0.358872003,1.65,31,
Unit_84,840,lignite,0.4,840,FALSE,168,0.4049042,1.65,31,
Unit_85,630,lignite,0.4,630,FALSE,126,0.432523517,1.65,31,
Unit_86,56,natural gas,0.2,56,FALSE,11.2,0.378660003,5.5,115,
Unit_87,60,natural gas,0.2,60,FALSE,12,0.519561547,5.5,115,
Unit_88,60,natural gas,0.2,60,FALSE,12,0.519561547,5.5,115,
Unit_89,68.41,natural gas,0.2,68.41,FALSE,13.682,0.436780845,5.5,8,
Unit_90,98.1,natural gas,0.2,98.1,FALSE,19.62,0.641530616,5.5,8,
Unit_91,444.5,natural gas,0.2,444.5,FALSE,88.9,0.603678146,5.5,167,
Unit_92,105.978,natural gas,0.2,105.978,FALSE,211.956,0.4742,5.5,167,
Unit_93,119,hard coal,0.3,119,FALSE,23.8,0.40571886,1.3,167,1300000
Unit_94,86,oil,0.25,86,FALSE,17.2,0.315,5.5,167,
Unit_95,137,natural gas,0.2,137,FALSE,27.4,0.382847369,5.5,196,
Unit_96,72.46,natural gas,0.2,72.46,FALSE,14.492,0.349228703,5.5,196,
Unit_97,53.481,natural gas,0.2,53.481,FALSE,106.962,0.4728,5.5,61,
Unit_98,1052,hard coal,0.3,1052,FALSE,210.4,0.4737685,1.3,98,1300000
Unit_99,194,natural gas,0.2,194,FALSE,38.8,0.385200291,5.5,135,
Unit_100,184,natural gas,0.2,184,FALSE,36.8,0.380395847,5.5,135,
